#### EXPORT DONNEES METEO POUR "NEW YORK" (LAT/LON: 40.7127837/-74.0059413)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2014-01-01,0,-6,15,-6,0,-2,0,78,10,1029,41,0,0,-11,116,116,116,0,2,8.7,météo très défavorable,16:39:00,07:20:00,-6
2014-01-02,-1,-7,31,-2,-3,-4,8.2,87,3.875,1024,97,0,0,-10,338,122,230,0.4,1,3.5,météo très défavorable,16:40:00,07:20:00,-1
2014-01-03,-10,-15,33,-10,-11,-15,4.5,95,6.875,1032,44.875,0,0,-21,122,335,113,0.4,1,8.7,météo très défavorable,16:41:00,07:20:00,-11
2014-01-04,-4,-12,16,-12,-5,-5,0,75,10,1034,5.625,0,0,-15,113,113,113,0,2,8.7,météo très défavorable,16:42:00,07:21:00,-11
2014-01-05,6,-5,11,-5,0,4,2.6,93,5.75,1027,55.5,6,6,-10,113,284,266,0,2,5.2,météo très défavorable,16:43:00,07:20:00,-4
2014-01-06,10,-6,28,10,4,-2,23.2,97,7.625,1007,62.125,10,10,-3,353,308,335,2.4,1,5.2,météo très défavorable,16:44:00,07:20:00,9
2014-01-07,-12,-16,39,-16,-13,-14,0,74,9.5,1029,4.875,0,0,-28,113,113,113,0,1,8.7,météo très défavorable,16:45:00,07:20:00,-14
2014-01-08,-6,-12,19,-12,-7,-7,0,62,10,1034,10.5,0,0,-21,113,113,113,0,2,8.7,météo très défavorable,16:46:00,07:20:00,-12
2014-01-09,1,-7,11,-6,-0,-2,0.2,76,9.875,1037,20.75,1,0,-11,179,113,113,0.1,2,8.7,météo très défavorable,16:47:00,07:20:00,-6
2014-01-10,3,-2,5,-0,3,3,1.9,90,7.875,1035,79.875,3,2,-3,119,296,119,0,2,3.5,météo très défavorable,16:48:00,07:20:00,-1
